"Entry Name","MMGBSA dG Bind"
"AAK1_lig_26.1",-55.78
"AAK1_lig_31.1",-55.55
"AAK1_lig_(S)-31.1",-55.53
"AAK1_lig_30.1",-52.00
"AAK1_lig_33.1",-49.72
"AAK1_lig_24.1",-49.48
"AAK1_lig_17.1",-48.78
"AAK1_lig_23.1",-48.70
"AAK1_lig_(S)-11.1",-48.45
"AAK1_lig_(R)-11.1",-46.76
"AAK1_lig_11.1",-46.73
"AAK1_lig_15.1",-46.31
"AAK1_lig_(R)-31.1",-46.00
"AAK1_lig_12.1",-45.08
"AAK1_lig_18.1",-45.07
"AAK1_lig_7.1",-44.69
"AAK1_lig_10.1",-44.45
"AAK1_lig_14.1",-42.89
"AAK1_lig_16.1",-42.54
"AAK1_lig_(R)-21.1",-41.92
"AAK1_lig_(S)-21.1",-41.92
"AAK1_lig_21.1",-41.92
"AAK1_lig_25.1",-41.77
"AAK1_lig_13.1",-41.52
"AAK1_lig_20.1",-41.43
"AAK1_lig_9.1",-38.91
"AAK1_lig_22.1",-37.21
"AAK1_lig_19.1",-36.57
"AAK1_lig_(S)-32.1",-36.34
"AAK1_lig_(R)-32.1",-34.08
