Entry Name,MMGBSA dG Bind
_home_yujie_leadopt_data_result_selection_CDK9_lig_36_sdf_1.1,-69.82
_home_yujie_leadopt_data_result_selection_CDK9_lig_31_sdf_1.1,-68.43
_home_yujie_leadopt_data_result_selection_CDK9_lig_33_sdf_1.1,-67.13
_home_yujie_leadopt_data_result_selection_CDK9_lig_28_sdf_1.1,-66.64
_home_yujie_leadopt_data_result_selection_CDK9_lig_34_sdf_1.1,-66.37
_home_yujie_leadopt_data_result_selection_CDK9_lig_24_sdf_1.1,-65.63
_home_yujie_leadopt_data_result_selection_CDK9_lig_7_sdf_1.1,-65.43
_home_yujie_leadopt_data_result_selection_CDK9_lig_39_sdf_1.1,-65.41
_home_yujie_leadopt_data_result_selection_CDK9_lig_15_sdf_1.1,-64.72
_home_yujie_leadopt_data_result_selection_CDK9_lig_40_sdf_1.1,-64.26
_home_yujie_leadopt_data_result_selection_CDK9_lig_8_sdf_1.1,-64.12
_home_yujie_leadopt_data_result_selection_CDK9_lig_16_sdf_1.1,-63.98
_home_yujie_leadopt_data_result_selection_CDK9_lig_26_sdf_1.1,-63.69
_home_yujie_leadopt_data_result_selection_CDK9_lig_3_sdf_1.1,-63.66
_home_yujie_leadopt_data_result_selection_CDK9_lig_35_sdf_1.1,-63.33
_home_yujie_leadopt_data_result_selection_CDK9_lig_37_sdf_1.1,-63.15
_home_yujie_leadopt_data_result_selection_CDK9_lig_36_sdf_1.1,-63.13
_home_yujie_leadopt_data_result_selection_CDK9_lig_5_sdf_1.1,-62.98
_home_yujie_leadopt_data_result_selection_CDK9_lig_25_sdf_1.1,-62.49
_home_yujie_leadopt_data_result_selection_CDK9_lig_18_sdf_1.1,-62.06
_home_yujie_leadopt_data_result_selection_CDK9_lig_21_sdf_1.1,-61.94
_home_yujie_leadopt_data_result_selection_CDK9_lig_23_sdf_1.1,-60.71
_home_yujie_leadopt_data_result_selection_CDK9_lig_13_sdf_1.1,-60.45
_home_yujie_leadopt_data_result_selection_CDK9_lig_32_sdf_1.1,-59.95
_home_yujie_leadopt_data_result_selection_CDK9_lig_10_sdf_1.1,-59.09
_home_yujie_leadopt_data_result_selection_CDK9_lig_17_sdf_1.1,-58.92
_home_yujie_leadopt_data_result_selection_CDK9_lig_27_sdf_1.1,-57.07
_home_yujie_leadopt_data_result_selection_CDK9_lig_30_sdf_1.1,-55.77
_home_yujie_leadopt_data_result_selection_CDK9_lig_11_sdf_1.1,-55.36
_home_yujie_leadopt_data_result_selection_CDK9_lig_20_sdf_1.1,-54.64
_home_yujie_leadopt_data_result_selection_CDK9_lig_29_sdf_1.1,-54.25
_home_yujie_leadopt_data_result_selection_CDK9_lig_22_sdf_1.1,-53.71
_home_yujie_leadopt_data_result_selection_CDK9_lig_9_sdf_1.1,-50.57
_home_yujie_leadopt_data_result_selection_CDK9_lig_14_sdf_1.1,-47.27
_home_yujie_leadopt_data_result_selection_CDK9_lig_4_sdf_1.1,-44.93
_home_yujie_leadopt_data_result_selection_CDK9_lig_12_sdf_1.1,-42.57
_home_yujie_leadopt_data_result_selection_CDK9_lig_2_sdf_1.1,-42.33
_home_yujie_leadopt_data_result_selection_CDK9_lig_19_sdf_1.1,-38.77
