name,pIC50
23_ref,6.497510456
26_ref,6.063361966
27_ref,4.50337078
28_ref,4.87129323
29_ref,5.106763597
30_ref,5.776382455
31_ref,5.827891598
32_ref,4.841859434
33_ref,5.062612904
34_ref,5.055254455
35_ref,6.482793558
36_ref,6.019211272
37_ref,6.585811844
38_ref,5.165631189
39_ref,5.172989638
40_ref,5.334875516
41_ref,5.246574128
42_ref,6.549019599
43_ref,5.172989638
44_ref,6.379775272
45_ref,6.585811844
46_ref,5.592421231
47_ref,4.253183515
48_ref,4.900727026
49_ref,6.151663354
50_ref,6.865432906
51_ref,6.217889395
52_ref,6.791848416
53_ref,7.329015192
54_ref,7.19656311
56_ref,6.813923763
57_ref,6.652037885
58_ref,6.924300497
60_ref,6.563736497
61_ref,5.945626782
62_ref,5.857325394
63_ref,6.666754783
64_ref,6.990526538
65_ref,6.188455599
66_ref,6.203172497
67_ref,5.577704333
68_ref,5.658647272
