name,pIC50
18628-1_ref,6.401850619314269
18624-1_ref,6.2473231905722
18639-1_ref,7.167129314036895
18660-1_ref,6.401850619314269
18630-1_ref,6.725622374773843
18632-1_ref,6.681471680847536
18636-1_ref,5.526195189775881
18652-1_ref,7.858823518882343
17124-1_ref,7.1229786201105885
18635-1_ref,5.364309312046095
18627-1_ref,6.239964741584484
18637-1_ref,7.461467273545597
18634-1_ref,7.351090538729834
18629-1_ref,6.379775272351116
18631-1_ref,6.924300497442216
18633-1_ref,6.747697721736994
18658-1_ref,7.137695518086024
18638-1_ref,7.424675028607009
18625-1_ref,5.967702129038933
18659-1_ref,6.968451191368521
18626-1_ref,6.526944252105467
